length,dataset,rmse,mae
20,50,0.0773853063583374,0.04028435871005058
30,50,0.05782082378864288,0.02724605202674866
40,50,0.04172113761305809,0.01865917555987835
50,50,0.0237071268260479,0.01062791645526886
80,50,0.005578975193202496,0.002906740037724376
20,20,0.07062746733427047,0.03499107584357262
30,20,0.05839634090662003,0.027527497708797456
40,20,0.043939796090126035,0.02028159163892269
50,20,0.03037721961736679,0.014190969243645667
80,20,0.00866705272346735,0.004089901968836784
