length,dataset,rmse,mae
20,50,0.07162946719002475,0.038908608745979685
30,50,0.05442822805470299,0.02719168369748613
40,50,0.04025545013488775,0.01951032889364592
50,50,0.02603360999970143,0.012593021732901537
80,50,0.011204061142151684,0.005929417103542666
20,20,0.06926320427102153,0.03703555362418196
30,20,0.059364788568123085,0.030521270542396294
40,20,0.048507447163921476,0.02458933818873161
50,20,0.03590170375915508,0.01886533434521274
80,20,0.014780711993023365,0.008797638417248612
