length,dataset,rmse,mae
20,50,0.07237256209650263,0.038661849378688974
30,50,0.05616242402921258,0.027121367853014368
40,50,0.04210804239551895,0.019525266987999272
50,50,0.027659143277354407,0.01335003750492209
80,50,0.013490752866735104,0.007306175345100774
20,20,0.07046646232536719,0.03663460674818427
30,20,0.06183803184534357,0.0305939669672388
40,20,0.050932290485593314,0.025354691895370644
50,20,0.039240418572107395,0.019860366911263194
80,20,0.017742271163629846,0.010140206468374756
