length,dataset,rmse,mae
100,5,0.04473399685270814,0.03649137217888567
100,10,0.03740970644553434,0.029724744522437858
100,20,0.037642865293897695,0.030284405745945035
100,50,0.03749568546811673,0.029771468195721455
