length,dataset,rmse,mae
100,5,0.02317795622095873,0.014688102652871807
100,10,0.018088642747311274,0.011288961252164794
100,20,0.01355786839974224,0.00840634084662096
100,50,0.010931792788692158,0.006233594376209273
