length,dataset,rmse,mae
100,5,0.02212151069175363,0.014856068059043779
100,10,0.016834860788836573,0.010662514274168505
100,20,0.01266837258496245,0.008038896427583467
100,50,0.009190113883004503,0.005213741744469356
